date,nav,daily_ret
2023-01-11,0.8609,-1.306889831479996
2023-01-12,0.8608,-0.011615750958293702
2023-01-13,0.8479,-1.4986059479553893
2023-01-16,0.8563,0.9906828635452225
2023-01-17,0.8637,0.8641831133948452
2023-01-18,0.867,0.3820771101076703
2023-01-19,0.8845,2.0184544405997595
2023-01-20,0.8831,-0.15828151498020748
2023-01-30,0.9048,2.457252859245851
2023-01-31,0.9039,-0.09946949602122057
2023-02-01,0.9141,1.128443411881852
2023-02-02,0.9024,-1.279947489333777
2023-02-03,0.9143,1.3187056737588687
2023-02-06,0.9111,-0.34999453133544023
2023-02-07,0.9044,-0.7353748216441747
2023-02-08,0.8922,-1.3489606368863316
2023-02-09,0.9095,1.9390271239632328
2023-02-10,0.8987,-1.1874656404617823
2023-02-13,0.8991,0.04450873483921036
2023-02-14,0.8934,-0.6339673006339752
2023-02-15,0.8891,-0.4813073651220079
2023-02-16,0.8747,-1.6196153413564285
2023-02-17,0.8656,-1.0403566937235653
2023-02-20,0.8666,0.11552680221811329
2023-02-21,0.8725,0.6808216016616742
2023-02-22,0.8766,0.46991404011460514
2023-02-23,0.8762,-0.04563084645220483
2023-02-24,0.8896,1.5293312029217132
2023-02-27,0.8878,-0.2023381294963933
2023-02-28,0.8869,-0.10137418337463622
2023-03-01,0.8878,0.10147705491037051
2023-03-02,0.8844,-0.3829691371930677
2023-03-03,0.8939,1.0741745816372772
2023-03-06,0.9085,1.633292314576562
2023-03-07,0.8862,-2.454595487066591
2023-03-08,0.896,1.1058451816745585
2023-03-09,0.8896,-0.7142857142857229
2023-03-10,0.8746,-1.6861510791366774
2023-03-13,0.877,0.27441115938713345
2023-03-14,0.8689,-0.9236031927023935
2023-03-15,0.8573,-1.3350212912878412
2023-03-16,0.843,-1.6680275282864754
2023-03-17,0.8382,-0.5693950177935947
2023-03-20,0.8308,-0.8828441899307982
2023-03-21,0.8451,1.721232546942697
2023-03-22,0.8409,-0.4969826056087978
2023-03-23,0.8464,0.6540611249851391
2023-03-24,0.8397,-0.7915879017013294
2023-03-27,0.8332,-0.77408598308919
2023-03-28,0.8162,-2.040326452232355
2023-03-29,0.8082,-0.980151923548156
2023-03-30,0.8176,1.163078445929222
2023-03-31,0.819,0.1712328767123239
2023-04-03,0.8249,0.7203907203907178
2023-04-04,0.8172,-0.9334464783609997
2023-04-06,0.8285,1.3827704356338621
2023-04-07,0.8316,0.37417018708509886
2023-04-10,0.8252,-0.7696007696007645
